#;;"Nom de la Data (minuscule = nom fichier xls de référence ; MAJUSCULE = nom d'une nouvelle donnée)";Valeur exemple ;"Colonne (voir onglet ""scans Traca"")";Data corrigée (si obtenable directement par la Data initiale);Valeur exemple (Data corrigée);"Colonne (voir onglet ""scans Traca"")";Commentaires divers
1) Données relatives à l'identification du produit;;;;;;;;
;;;;;;;;
;"11. Données récupérées ""directement"" de la lecture du QR Code";;;;;;;
;;;;;;;;
1;;identifier;110308439278880052;E;ID 10 N;9278880052;F;"1. L'identifiant unique comporte 10 (cas pour l'instant) ou 11 (demain pour certaines références) caractères.
2. Le champ ""identifier"" a été extrait du QR Code avec une syntaxe de première génération : dans ce cas, l'identifiant ayant seulement 10 caractères il faut sélectionner les 10 caractères à partir de la droite.
3. Dans le cas d'un QR Code de 2e génération (syntaxe GS1), il faut prendre en compte 2 possibilités : 10 ou 11 caractères. Il suffit de s'appuyer sur les AI de type GS1 et retenir les caractères immédiatement situés après ""/21/"", soit à compter de la 51e position.
Les syntaxes de QR Code de 1re et 2e génération sont détaillées dans l'onglet n°3 (""Comparatif QR Code"")"
;;;;;;;;
2;;code;3666057202476;B;Pas de correction;;;Il s'agit du code EAN (13 Chiffres - 14 à terme) permettant d'identifier la référence produit.
;;;;;;;;
;;;;;;;;
;;;;;;;;
;12. Données obtenues par exploitation d'éléments contenus dans le QR Code (utilisation d'une table);;;;;;;
;;;;;;;;
3;;BATCH NUMBER;;G;;;;"Numérot de lot (7 caractères) : obtenu par exploitation des tables d'appairages constituées en usine. Lors du conditionnement ""identifier"" (soit l'UNI) est rattaché à un numéro de carton (PK), de palette (PA ou absence d'appairage) et de lot. Il faut donc intérroger les données d'appairage pour identifier le numéro de lot correspondant à ""identifier"".
En cas de problème relative à la collection des données d'appairage pendant le conditionnement ou à la transmission des données depuis les usine, il ne sera pas possible d'établir le lien entre l'identifiant unique et le lot."
;;;;;;;;
4;;REF M3;80103084;C;;;;"Référence obtenue par ""traduction"" de ""code"", soit l'EAN. M3 livre la correspondance entre l'EAN, la référence M3 et le nom en clair de la référence."
;;;;;;;;
5;;REF CLAIR;DOUBLE SERUM 9 RETAIL 50ML ;D;;;;"Nom en clair de la référence : identifié par exploitation de M3 (même processus que pour la référence ""M3"" sous la forme numérique (8 chiffres)."
;;;;;;;;
;;;;;;;;
2) Données relatives aux circonstances de lecture du QR Code (données indépendantes du produit);;;;;;;;
;;;;;;;;
;21. Temporalité du scan (Date et Heure);;;;;;;
;;;;;;;;
