id	code	identifier	ID 10 N	userAgent	deviceLanguage	city	region	country	latitude	longitude	tagId	createdAt	updatedAt	BATCH NUMBER	type_envoi	code_parallele	article	emballage	date_envoi	nom_envoi	addresse_envoi	cp_envoi	ville_envoi	pays_envoi	DATE SCAN	HEURE SCAN (GMT)	DATE HEURE SCAN	PAYS CODE	PAYS NOM	OS	NAVIGATEUR
23187	3666057202476	110308439278419931	9278419931	Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003633) NetType/WIFI Language/zh_CN	zh			CN	34.773200	113.722000		2024-12-12 03:35:17.735 +0100	2024-12-12 03:35:17.735 +0100	0350254	envoi_filiale	9500470927	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	033517	20241212033517	CN	Chine	iOS	WeChat
23188	3666057202476	110308439287334379	9287334379	Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003633) NetType/4G Language/zh_CN	zh	Changsha	HN	CN	28.201400	112.961100		2024-12-12 03:37:29.179 +0100	2024-12-12 03:37:29.179 +0100	0345177	envoi_filiale	9500470928	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	033729	20241212033729	CN	Chine	iOS	WeChat
23189	3666057202476	110308439283310605	9283310605	Mozilla/5.0 (Linux; Android 14; 22021211RC Build/UKQ1.231207.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.148 MYWeb/0.11.0.241209173309 UWS/3.22.2.9999 UCBS/3.22.2.9999_220000000000 Mobile Safari/537.36 NebulaSDK/1.8.100112 Nebula AlipayDefined(nt:WIFI,ws:393|0|2.75) AliApp(AP/10.6.70.8100) AlipayClient/10.6.70.8100 Language/zh-Hans useStatusBar/true isConcaveScreen/true Region/CNAriver/1.0.0 DTN/2.0	zh	Dongguan	GD	CN	23.017700	113.750600		2024-12-12 03:41:07.416 +0100	2024-12-12 03:41:07.416 +0100	0345195	envoi_filiale	9500470928	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034107	20241212034107	CN	Chine	Android	Chrome
23190	3666057202476	110308439283310605	9283310605	Mozilla/5.0 (Linux; U; Android 14; zh-cn; 22021211RC Build/UKQ1.231207.002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/18.7.921118	zh	Dongguan	GD	CN	23.017700	113.750600		2024-12-12 03:43:07.509 +0100	2024-12-12 03:43:07.509 +0100	0345195	envoi_filiale	9500470928	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034307	20241212034307	CN	Chine	Android	Chrome
23191	3666057269158	110977781935622869	1935622869	Mozilla/5.0 (Linux; Android 6.0.1; OPPO R9s Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.9 TBS/036906 Safari/537.36 MicroMessenger/6.5.4.1000 NetType/4G Language/zh_CN	zh			CN	34.773200	113.722000		2024-12-12 03:43:22.987 +0100	2024-12-12 03:43:22.987 +0100	0413188	envoi_filiale	9500470193	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034322	20241212034322	CN	Chine	Android	Chrome
23192	3666057269158	110977781937653137	1937653137	Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003633) NetType/WIFI Language/zh_CN	zh			CN	34.773200	113.722000		2024-12-12 03:44:56.237 +0100	2024-12-12 03:44:56.237 +0100	0414075	envoi_filiale	9500470193	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034456	20241212034456	CN	Chine	iOS	WeChat
23193	3666057269158	110977781937653137	1937653137	Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003633) NetType/WIFI Language/zh_CN	zh			CN	34.773200	113.722000		2024-12-12 03:45:46.271 +0100	2024-12-12 03:45:46.271 +0100	0414075	envoi_filiale	9500470193	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034546	20241212034546	CN	Chine	iOS	WeChat
23194	3666057202476	110308439278419931	9278419931	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1	en			KH	13.010200	105.005000		2024-12-12 03:46:20.510 +0100	2024-12-12 03:46:20.510 +0100	0350254	envoi_filiale	9500470927	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034620	20241212034620	KH	KH	iOS	Safari
23195	3666057202506	110308745605651050	5605651050	Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003633) NetType/WIFI Language/zh_CN	zh	Nanjing	JS	CN	32.058900	118.773800		2024-12-12 03:49:31.025 +0100	2024-12-12 03:49:31.025 +0100	0352037	envoi_filiale	9500470560	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	034931	20241212034931	CN	Chine	iOS	WeChat
23196	3666057202520	110308985648677031	5648677031	Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003633) NetType/WIFI Language/zh_CN	zh	Shanghai	SH	CN	31.222200	121.458100		2024-12-12 03:55:03.438 +0100	2024-12-12 03:55:03.438 +0100	0402108	envoi_filiale	9500470564	80103084	PA	20240720	CDFI SHANGHAI	CHINA DUTY FREE INT'L LIMITED		WANCHAI	HONG KONG	20241212	035503	20241212035503	CN	Chine	iOS	WeChat
